feature,importance
total_complaints,0.16310405917777626
total_chronic_locations,0.12645700662113243
complaint_years_active,0.11950569503383449
nuisance_rate,0.11378510821940375
siren_coverage_gap,0.07674925650962082
total_nuisance,0.07217701945251084
cell_lon,0.060718299937752754
cell_lat,0.04059864437177316
violation_years_active,0.038796118752688416
dist_to_nearest_siren_km,0.03861932013457594
unique_parcels,0.028809791510741686
total_violations,0.02393712971707581
days_since_last_complaint,0.022944224058835307
complaint_count_90d,0.021197875348851137
env_violations,0.017474416988843763
env_violation_rate,0.013021051396636818
complaint_count_60d,0.00768677630002652
chronic_loc_count_90d,0.003840326405724781
complaint_count_30d,0.0036621159280248046
avg_resolution_days,0.002680066250037277
pct_call_center,0.0023014695979546363
most_common_dept,0.0007682680843124434
chronic_loc_count_60d,0.000412338070779561
chronic_loc_count_30d,0.00024952930365092045
nuisance_count_90d,0.0002407118156548
nuisance_count_30d,0.00018038245809536064
nuisance_count_60d,8.299855366362482e-05
avg_lien_status,5.660192807370835e-15
chronic_parcels,5.596041276712239e-15
open_violations,4.269603409406966e-15
lien_filed_count,2.93398950785926e-15
chronic_parcel_rate,2.2276446046792914e-15
open_violation_rate,1.3117043341361086e-15
